8019022,7954993,16778528,32752544.791372888
28479,28470,27935,84884.9709529694
3822,2583,2589,8994.667662691549
29939,48669,57337,135945.41237719497
19326,12096,20594,52017.9481059768
8347,7163,10642,26153.497135889604
2578,1288,3770,7637.81742815042
19979,12534,54836,87349.33266508418
2555,10074,21368,33998.97866854567
2564,2564,15136,20264.82112443904
2622,5149,10199,17972.163665778302
2478,9768,26758,39005.259121967385
3829,5060,25955,34844.926225378964
3738,4971,16193,24903.006739105687
2571,5096,11406,19074.51221813768
2573,5097,6347,14018.915728956752
5034,5034,21095,31164.869424321318
2564,10108,13880,26553.7575406677
2552,5058,10059,17671.352083157777
2512,4922,7340,14775.265138667683
4768,9490,22438,36697.6778173067
