184141563,174391524,237466314,595999402.3895106
31617,31120,31131,93869.12242428753
16429,15249,11785,43463.97898535513
7157,5970,3576,16703.808764740817
19463,43905,39111,102479.9745678843
12100,10912,8464,31477.39856295086
5096,5057,5047,15202.085994114426
1210,1211,1259,3681.052556141257
6041,9599,27379,43021.14613392821
8480,4877,8528,21886.943775269065
5027,5012,3770,13809.591193454336
4817,4824,47,9689.207793523263
9322,9309,9320,27952.177906137622
4944,4936,4888,14769.74484085882
4933,4941,5013,14887.920370988457
4951,4955,49,9956.538422701882
9676,9653,15530,34860.35084523299
4861,4878,4942,14682.8438046454
5047,5024,3729,13801.507535925604
5011,5023,1298,11333.647995577536
9115,9115,11436,29666.549574901284
4487,4493,4412,13393.469322350142
